idx,Name,mean_price_2Bedroom,min_t_2Bedroom,t_range_2Bedroom,intercept_2Bedroom,price_trend_2Bedroom,intercept_err_2Bedroom,price_trend_err_2Bedroom,rsquared_2Bedroom,std_err_2Bedroom,nobs_2Bedroom
226,Midtown,5406.935,1854.580,669.165,5712.001,-0.139,228.439,0.104,0.079,96.073,23.000
227,Astrodome Area,1435.580,1793.747,729.998,923.185,0.237,86.500,0.040,0.607,41.933,25.000
228,Vance Jackson,873.000,881.249,1642.496,819.963,0.031,17.676,0.010,0.155,35.111,55.000
229,Charlestown,2973.944,668.332,1855.413,3036.528,-0.039,45.711,0.027,0.034,114.291,62.000
230,Beach Haven,1022.231,972.498,1551.247,789.830,0.133,14.837,0.008,0.840,26.507,52.000
231,Metro West,1055.053,1124.581,1399.164,745.620,0.170,25.799,0.014,0.771,38.180,47.000
232,Bluffview,2019.292,2189.162,334.583,912.327,0.470,920.710,0.390,0.127,129.605,12.000
233,Adams Morgan,3020.719,1580.830,942.915,3529.645,-0.248,224.117,0.108,0.149,166.428,32.000
234,University Place,2131.267,2097.913,425.832,1347.663,0.339,396.924,0.171,0.231,81.256,15.000
235,Hollywood Lakes,1718.920,1793.747,729.998,1509.469,0.097,227.856,0.105,0.036,110.460,25.000
236,Seatack,1219.042,759.582,1764.163,1175.588,0.026,12.308,0.007,0.194,27.961,59.000
237,Tribeca,6053.370,1854.580,669.165,5647.457,0.185,376.453,0.171,0.053,158.323,23.000
238,Logan Circle,3466.528,911.665,1612.080,3437.194,0.017,62.389,0.035,0.005,119.691,54.000
239,Kenmore,2785.981,942.082,1581.663,2763.834,0.013,97.452,0.054,0.001,180.468,53.000
240,Park Manor,859.239,1154.998,1368.747,804.137,0.030,31.628,0.017,0.067,44.986,46.000
241,Ala Moana-Kakaako,3285.233,1246.248,1277.497,2844.770,0.234,96.795,0.050,0.344,121.694,43.000
242,Spuyten Duyvil,2420.240,972.498,1551.247,1861.087,0.320,75.352,0.042,0.541,134.625,52.000
243,Wynwood - Edgewater,2448.614,546.666,1977.079,1811.887,0.415,27.002,0.016,0.908,76.281,66.000
244,University Village - Little Italy,1893.423,577.083,1946.662,1628.142,0.171,32.221,0.020,0.550,88.340,65.000
245,Gold Coast,2566.839,759.582,1764.163,2218.979,0.212,53.005,0.031,0.454,120.413,59.000
246,Squirrel Hill South,1266.429,2128.329,395.416,482.374,0.337,301.952,0.130,0.360,55.061,14.000
247,Villages of Palm Beach Lakes,1139.766,668.332,1855.413,854.078,0.179,16.808,0.010,0.843,42.026,62.000
248,Tudor City,4625.783,1854.580,669.165,4343.653,0.129,358.242,0.163,0.029,150.664,23.000
249,Capitol Hill,1723.412,2037.079,486.666,1168.835,0.243,182.492,0.080,0.382,46.086,17.000
250,Battery Park,5631.823,577.083,1946.662,4178.308,0.938,84.256,0.051,0.843,231.002,65.000
251,West University,1573.203,1580.830,942.915,988.723,0.285,48.952,0.024,0.829,36.351,32.000
252,Playa Del Rey,2940.733,2097.913,425.832,1717.574,0.529,442.769,0.191,0.371,90.641,15.000
253,Irving Park,1343.312,1337.498,1186.247,1164.074,0.093,43.469,0.022,0.316,47.946,40.000
254,Dupont Circle,3568.657,911.665,1612.080,3662.907,-0.055,70.165,0.039,0.036,134.609,54.000
255,Near West Side,2694.000,2097.913,425.832,2827.223,-0.058,381.439,0.165,0.009,78.086,15.000
256,The Fan,1271.412,2037.079,486.666,1026.464,0.107,89.204,0.039,0.335,22.527,17.000
257,Mission Hill,2188.774,942.082,1581.663,1909.917,0.161,73.162,0.041,0.234,135.486,53.000
