,Name,County,Metro,mean_price_1Bedroom,min_t_1Bedroom,t_range_1Bedroom,intercept_1Bedroom,price_trend_1Bedroom,intercept_err_1Bedroom,price_trend_err_1Bedroom,rsquared_1Bedroom,std_err_1Bedroom,nobs_1Bedroom
107,Studio City,Los Angeles,Los Angeles-Long Beach-Anaheim,1808.384,1700.664,1277.497,957.638,0.364,76.213,0.032,0.757,77.733,43.000
108,Del Rey,Los Angeles,Los Angeles-Long Beach-Anaheim,2447.018,2156.913,821.248,1947.924,0.194,258.026,0.100,0.127,125.330,28.000
109,Fort Greene,Kings,New York,2636.680,1061.916,1916.246,1844.523,0.392,31.872,0.015,0.915,67.254,64.000
110,Columbia Heights,District of Columbia,Washington,2146.355,1335.665,1642.496,2745.321,-0.278,94.785,0.043,0.442,150.742,55.000
111,Greenwood,Kings,New York,1965.242,2065.664,912.498,1623.897,0.135,174.148,0.069,0.118,100.584,31.000
112,Venice,Los Angeles,Los Angeles-Long Beach-Anaheim,2489.050,1183.582,1794.579,2171.506,0.153,138.271,0.064,0.088,258.418,60.000
113,Greenpoint,Kings,New York,2256.325,1183.582,1794.579,1429.795,0.397,77.987,0.036,0.673,145.752,60.000
114,Kingsbridge,Bronx,New York,1225.992,1183.582,1794.579,805.320,0.202,15.603,0.007,0.930,29.161,60.000
115,Sawtelle,Los Angeles,Los Angeles-Long Beach-Anaheim,1868.235,2491.496,486.666,473.822,0.510,290.032,0.106,0.607,61.113,17.000
116,Prospect Lefferts Gardens,Kings,New York,1489.658,1183.582,1794.579,937.515,0.265,27.503,0.013,0.881,51.401,60.000
117,Downtown,Los Angeles,Los Angeles-Long Beach-Anaheim,2308.180,1153.166,1824.996,1452.271,0.414,58.253,0.027,0.796,112.293,61.000
118,Capitol Hill,King,Seattle,1559.475,1183.582,1794.579,720.944,0.403,44.513,0.021,0.867,83.192,60.000
119,M Streets,Dallas,Dallas-Fort Worth,1181.277,1305.249,1672.913,884.795,0.138,15.695,0.007,0.874,25.804,56.000
120,Hollywood Hills,Los Angeles,Los Angeles-Long Beach-Anaheim,1813.058,1700.664,1277.497,632.920,0.504,120.203,0.051,0.707,122.600,43.000
121,Homecrest,Kings,New York,1436.102,1518.165,1459.997,1003.043,0.193,19.672,0.009,0.914,25.344,49.000
122,West Roxbury,Suffolk,Boston,1639.792,1183.582,1794.579,1530.126,0.053,35.467,0.017,0.149,66.285,60.000
123,Fort Hamilton,Kings,New York,1467.042,1183.582,1794.579,1093.145,0.180,19.603,0.009,0.870,36.637,60.000
124,South End,Suffolk,Boston,2422.682,1335.665,1642.496,2157.912,0.123,35.383,0.016,0.526,56.273,55.000
125,Downtown,Hudson,New York,2120.672,1153.166,1824.996,1719.343,0.194,56.554,0.027,0.477,109.018,61.000
126,Clinton,New York,New York,3109.172,1061.916,1916.246,2513.814,0.295,53.050,0.025,0.686,111.941,64.000
127,Neartown - Montrose,Harris,Houston,1340.343,1457.332,1520.830,1321.224,0.009,52.345,0.023,0.003,72.510,51.000
128,Alexandria West,Alexandria City,Washington,1462.926,1366.082,1612.080,1611.927,-0.069,30.839,0.014,0.320,47.419,54.000
129,Capitol Hill,District of Columbia,Washington,1911.606,2004.830,973.331,1425.689,0.195,149.664,0.060,0.256,96.218,33.000
130,Financial District,New York,New York,3365.164,970.666,2007.496,2908.122,0.231,47.661,0.023,0.606,109.714,67.000
131,Briarwood,Queens,New York,1438.719,1274.832,1703.330,979.497,0.216,19.105,0.009,0.917,32.456,57.000
132,Brighton Beach,Kings,New York,1460.759,1244.415,1733.746,900.363,0.265,28.511,0.013,0.880,50.022,58.000
133,Flatiron District,New York,New York,3564.697,1001.083,1977.079,2551.370,0.509,45.791,0.022,0.892,102.433,66.000
134,Pacific Beach,San Diego,San Diego,1444.348,2308.996,669.165,740.976,0.266,122.642,0.046,0.612,42.769,23.000
135,Ravenswood,Cook,Chicago,1050.769,1031.499,1946.662,692.954,0.178,13.188,0.006,0.927,28.658,65.000
136,Washington Avenue Coalition - Memorial Park,Harris,Houston,1471.224,1518.165,1459.997,1600.756,-0.058,33.233,0.015,0.251,42.816,49.000
137,Landmark-Van Dom,Alexandria City,Washington,1469.783,1183.582,1794.579,1423.585,0.022,18.901,0.009,0.099,35.325,60.000
138,Pelham Bay,Bronx,New York,1275.368,1974.414,1003.748,679.515,0.241,51.398,0.021,0.810,34.786,34.000
139,West Town,Cook,Chicago,2011.203,1883.164,1094.998,1911.170,0.041,91.157,0.037,0.034,71.420,37.000
140,University District,King,Seattle,1435.353,2491.496,486.666,878.359,0.204,411.966,0.150,0.109,86.806,17.000
141,Allston,Suffolk,Boston,1524.648,1061.916,1916.246,1111.171,0.205,12.467,0.006,0.950,26.306,64.000
