,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
111,188.0,247500.0,1.73913043478,0.153317335319,3.90277777778,0.156913030834,36,272039,6896.0,WI,Dane,Madison,Bay Creek,-89.3909553,43.0544456,0.0262569,0.0110604,0.0589806413185
112,,,,,3.0,0.0,1,272041,6721.0,WI,Dane,Madison,Berkley Oaks,-89.3561628,43.1295383,0.0146982,0.0136555,0.0430916279129
113,123.0,177700.0,1.66666666667,0.18053418677,2.97058823529,0.214002022091,17,272044,6852.0,WI,Dane,Madison,Bluff Acres,-89.3058381,43.1349104,0.0196927,0.0159934,0.0729038438494
114,,,1.4,0.219089023002,3.83333333333,0.152145154863,6,272047,6908.0,WI,Dane,Madison,Bram's Addition,-89.3916528,43.0427444,0.0048878,0.0131956,0.0130839880537
115,,,,,1.5,0.0,1,272054,6892.0,WI,Dane,Madison,Burke Heights,-89.3092314,43.1102629,0.0165739,0.0076624,0.0292526907134
116,,,1.11111111111,0.104756560176,4.22727272727,0.162160470003,11,272056,6837.0,WI,Dane,Madison,Burr Oaks,-89.4002924,43.0422292,0.0127627,0.0153341,0.0391369240534
117,243.0,204800.0,1.74468085106,0.0342932661037,3.70512820513,0.0347647707203,507,272060,6833.0,WI,Dane,Madison,Capitol,-89.3879779,43.0728594,0.0259625,0.0178793,0.0947349171947
118,249.0,371300.0,1.77272727273,0.110067938858,3.81428571429,0.145806293481,35,272081,6859.0,WI,Dane,Madison,Dudgeon-Monroe,-89.4280094,43.0594774,0.0304595,0.016661,0.0967965160342
119,,,1.25,0.216506350946,3.6,0.260768096208,5,272082,6912.0,WI,Dane,Madison,Dunn's Marsh,-89.4523428,43.0303325,0.0175363,0.0130324,0.0417367638922
120,143.0,150800.0,1.27777777778,0.10557179862,3.79545454545,0.199842631551,22,272087,6945.0,WI,Dane,Madison,Eken Park,-89.3465995,43.1069495,0.0161883,0.0135234,0.0476992338102
121,138.0,190200.0,1.0,0.0,3.625,0.621867148192,4,272124,6898.0,WI,Dane,Madison,Heistand,-89.3011814,43.1024545,0.0306033,0.0080771,0.0576012126076
122,158.0,181500.0,1.0,0.0,4.0,0.707106781187,2,272187,6855.0,WI,Dane,Madison,Moorland-Rimrock,-89.3681003,43.0346621,0.0289503,0.0183483,0.11192895743
123,,,2.0,0.0,3.14285714286,0.261750108947,7,272198,6737.0,WI,Dane,Madison,Norman Acres,-89.3120631,43.1258918,0.007726,0.0063439,0.0112435491216
124,240.0,416700.0,1.64,0.137171425596,3.5,0.173131423479,28,272223,6730.0,WI,Dane,Madison,Regent,-89.4250993,43.0674341,0.0223635,0.0134895,0.0578329561906
125,144.0,213800.0,1.0,0.0,3.25,0.176776695297,2,272226,6664.0,WI,Dane,Madison,Ridgewood,-89.293339,43.1139642,0.0155657,0.0148226,0.054368502746
126,150.0,175600.0,1.83333333333,0.280541803843,3.0,0.33502969713,7,272232,6829.0,WI,Dane,Madison,Rolling Meadows,-89.306147,43.0915219,0.0193449,0.0147394,0.0659716527739
127,200.0,267100.0,2.0,0.0,4.25,0.53033008589,2,272239,6919.0,WI,Dane,Madison,Schenk-Atwood,-89.3459096,43.0932573,0.0268044,0.0094883,0.0554724130062
128,147.0,157200.0,1.73333333333,0.148074055546,3.54761904762,0.210023111526,21,272243,6739.0,WI,Dane,Madison,Sherman,-89.3600824,43.118774,0.0100883,0.0239085,0.051468267758
129,,,1.66666666667,0.127656947701,3.61627906977,0.119532631983,43,272252,6740.0,WI,Dane,Madison,South Campus,-89.4066673,43.0705201,0.0122247,0.0057228,0.0138417665303
130,220.0,276900.0,1.75,0.414578098794,3.28571428571,0.300631017605,7,272263,6850.0,WI,Dane,Madison,Sunset Village,-89.4469709,43.0680152,0.01336,0.0145367,0.0358152297946
131,,,1.42857142857,0.27532117476,3.25,0.253448438762,12,272295,6915.0,WI,Dane,Madison,Westchester Gardens,-89.3179037,43.1316474,0.0148686,0.0296349,0.100222026532
132,206.0,279800.0,1.42857142857,0.187043905917,4.1,0.197484176581,10,272297,6705.0,WI,Dane,Madison,Westmorland,-89.4445669,43.0536062,0.013163,0.0144297,0.0351796369792
133,,,1.0,0.0,4.0,0.707106781187,2,272309,6768.0,WI,Dane,Madison,Worthington Park,-89.3361991,43.1032331,0.0111596,0.0068514,0.0169242835119
134,103.0,150600.0,1.59471365639,0.0307919205344,3.74508519004,0.0352691869191,763,272734,333.0,AZ,Maricopa,Phoenix,Alahambra,-112.1091,33.515325,0.0884,0.0757699,48.166196581
135,,,,,4.5,0.353553390593,2,272736,229.0,AZ,Maricopa,Tempe,Alameda-Campus,-111.9305834,33.398383,0.008641,0.003678,0.226789743659
136,,,1.5,0.133630620956,3.97368421053,0.172458530928,19,272749,5194.0,PA,Allegheny,Pittsburgh,Allegheny West,-80.0140238,40.4513226,0.0108089,0.0053177,0.190436035892
137,33.0,,1.66666666667,0.451335466924,4.11111111111,0.245675910397,9,272753,5119.0,PA,Allegheny,Pittsburgh,Allentown,-79.9959259,40.4236183,0.0164185,0.0107079,0.583525666378
138,114.0,165200.0,1.92405063291,0.0510617157378,3.86462882096,0.0549426708275,229,272770,4448.0,NV,Clark,Las Vegas,Angel Park Lindell,-115.2756389,36.1687325,0.031586,0.0194295,5.0064968486
139,176.0,356000.0,1.84210526316,0.0836546751831,3.77631578947,0.140114427442,38,272773,4417.0,NV,Clark,Henderson,Anthem,-115.0971949,35.9530883,0.0524499,0.0622355,26.4535712324
140,189.0,318500.0,2.0,0.0,3.83333333333,0.561083607687,6,272809,3904.0,NC,Mecklenburg,Charlotte,Ashbrook-Clawson Village,-80.8585434,35.182427,0.015061,0.02071,0.94680252371
141,72.0,76000.0,1.36363636364,0.121039822445,3.39705882353,0.156711738879,34,272812,3917.0,NC,Mecklenburg,Charlotte,Ashley Park,-80.8822453,35.2355324,0.0312607,0.0245252,2.32123340981
